"mz","rt","X500_700_Neg_JeansA.mzXML","X500_700_Neg_JeansB.mzXML","X500_700_Neg_JeansC.mzXML","X500_700_Neg_JeansD.mzXML","X500_700_Neg_JeansDx.mzXML","X500_700_Neg_JeansE.mzXML","X500_700_Neg_JeansF.mzXML","X500_700_Neg_JeansG.mzXML","X500_700_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
589.344523111979,5.5729,100,100,166797.640625,5121.10205078125,100,100,100,7977.8017578125,100,3,"C30H55ClN2S2;C30H55ClN2S2","-0.541155032337008;-0.541155032337008","0.00995033085316809;-4.50846766112552","-0.53120470148384;-5.04962269346253","[Cl-].CCCCCCCCCC(S)CCCCCCCC(=S)NCCC[N+](C)(C)Cc1ccccc1;[Cl-].CCCCCCCCCC(S)CCCCCCCC(=S)NCCC[N+](C)(C)Cc1ccccc1","37188;37188","[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0","0;0","0",0,"-0.53120470148384;-5.04962269346253"
590.301452636719,5.71891666666667,100,74122.6875,115066.875,8194.35546875,100,100,42342.98828125,18979.693359375,100,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
588.84912109375,7.32361666666667,100,100,100,100,100,100,124412.1328125,79745.7109375,25900.111328125,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
591.339274088542,5.5729,50952.23828125,21919.720703125,514893.1875,20259.291015625,14548.923828125,19531.947265625,48450.5078125,29722.216796875,20406.8515625,3,"C30H58S4S;C30H58S4;C30H58S4;C30H58S4","-0.0116311153348952;-0.0116311153348952;-0.0116311153348952;-0.0116311153348952","-4.55171221316923;-4.55171221316923;-4.55171221316923;-4.55171221316923","-4.56334332850412;-4.56334332850412;-4.56334332850412;-4.56334332850412","CCCCCCCCCCCCSC(=S)CCSCCC(=S)SCCCCCCCCCCCC;CCCCCCCCCCSC(=S)CCCCCCCCC(=S)SCCCCCCCCCC;CCCCCCCCCCCCSC(=S)CCCCC(=S)SCCCCCCCCCCCC;CC(C)CCCCCCCSC(=S)CCCCCCCCC(=S)SCCCCCCCC(C)C","3470;8627;9716;18744","[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0","0;0;0;0","0",0,"-4.56334332850412;-4.56334332850412;-4.56334332850412;-4.56334332850412"
592.342976888021,5.54398333333333,6712.330078125,100,194953.671875,5519.9912109375,100,100,100,4974.36328125,100,3,"C30H58S4S;C30H58S4;C30H58S4;C30H58S4","-0.0227418335515812;-0.0227418335515812;-0.0227418335515812;-0.0227418335515812","-3.11619717879937;-3.11619717879937;-3.11619717879937;-3.11619717879937","-3.13893901235095;-3.13893901235095;-3.13893901235095;-3.13893901235095","CCCCCCCCCCCCSC(=S)CCSCCC(=S)SCCCCCCCCCCCC;CCCCCCCCCCSC(=S)CCCCCCCCC(=S)SCCCCCCCCCC;CCCCCCCCCCCCSC(=S)CCCCC(=S)SCCCCCCCCCCCC;CC(C)CCCCCCCSC(=S)CCCCCCCCC(=S)SCCCCCCCC(C)C","45011;3470;8627;9716","[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0","0;0;0;0","0",0,"-3.13893901235095;-3.13893901235095;-3.13893901235095;-3.13893901235095"
597.292785644531,6.63465,31476.82421875,28963.572265625,53993.73828125,24242.09765625,24813.125,21486.818359375,103942.3984375,24655.56640625,25963.70703125,7,"C31H52S4;C31H52S4","-0.016654033768836;-0.016654033768836","-2.23794780883474;-2.23794780883474","-3.25460184260357;-3.25460184260357","CSCCSC(=S)S[C@H]1CC[C@]2(C)[C@@H]3CC[C@]4(C)[C@@H](CC[C@H]4[C@H]3CC=C2C1)[C@H](C)CCCC(C)C;CCCCCCCCCCCCCSC(=S)c1ccccc1C(=S)SCCCCCCCC(C)C","19047;31402","[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0","0;0","0;0",0,"-3.25460184260357;-3.25460184260357"
598.505432128906,7.56555,100,100,100,6304.74072265625,182718.828125,100,100,283389.4375,100,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
598.505635579427,10.68615,100,12749.703125,100,4446.150390625,100,3763.81469726562,100,106550.8984375,100,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
599.3056640625,5.7017,99905.9140625,64711.625,87536.03125,80591.921875,69660.640625,74033.8671875,71294.8515625,78309.6015625,104193.3046875,9,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
599.305745442708,5.651,99905.9140625,64711.625,87536.03125,80591.921875,69660.640625,60532.61328125,121327.8671875,78309.6015625,104193.3046875,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
