mz,,,,,Found
266.1513656,,,,,
266.1513712,,,,,
266.1513742,,,,,
266.1513815,,,,,
266.1513866,,,,,
266.1514089,,,,,
266.1514271,,,,,
266.1514358,,,,,
266.1514365,,,,,
266.1514371,,,,,
266.1514466,,,,,
266.1514502,,,,,
266.1514577,,,,,
266.1514895,,,,,
266.1514963,,,,,
266.1516059,,,,,
267.1200083,,,,,
267.1437232,,,,,
267.1437443,,,,,
267.1437562,,,,,
267.1437585,,,,,
267.1437718,,,,,
267.1437908,,,,,
267.1437972,,,,,
267.1438181,,,,,
267.1438566,,,,,
267.1599619,,,,,
267.1601329,,,,,
267.1602522,,,,,
267.1963678,,,,,
267.2329526,,,,,
268.0824411,,,,,
268.1468948,,,,,
